X_POS_PLOT DENSITY VELOCITY_X PRESSURE
5.000000000000000104e-03 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
1.499999999999999944e-02 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
2.500000000000000139e-02 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
3.500000000000000333e-02 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
4.499999999999999833e-02 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
5.500000000000000028e-02 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
6.500000000000000222e-02 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
7.499999999999999722e-02 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
8.500000000000000611e-02 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
9.500000000000000111e-02 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
1.049999999999999961e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
1.150000000000000050e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
1.250000000000000000e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
1.350000000000000089e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
1.449999999999999900e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
1.549999999999999989e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
1.650000000000000078e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
1.750000000000000167e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
1.849999999999999978e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
1.950000000000000067e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
2.050000000000000155e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
2.149999999999999967e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
2.250000000000000056e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
2.350000000000000144e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
2.449999999999999956e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
2.550000000000000044e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
2.650000000000000133e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
2.750000000000000222e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
2.850000000000000311e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
2.949999999999999845e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
3.049999999999999933e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
3.150000000000000022e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
3.250000000000000111e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
3.350000000000000200e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
3.450000000000000289e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
3.549999999999999822e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
3.649999999999999911e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
3.750000000000000000e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
3.850000000000000089e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
3.950000000000000178e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
4.050000000000000266e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
4.150000000000000355e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
4.249999999999999889e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
4.349999999999999978e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
4.450000000000000067e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
4.550000000000000155e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
4.650000000000000244e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
4.750000000000000333e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
4.849999999999999867e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
4.949999999999999956e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
5.050000000000000044e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
5.150000000000000133e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
5.250000000000000222e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
5.350000000000000311e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
5.450000000000000400e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
5.550000000000000488e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
5.650000000000000577e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
5.750000000000000666e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
5.849999999999999645e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
5.949999999999999734e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
6.049999999999999822e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
6.149999999999999911e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
6.250000000000000000e-01 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+05
6.350000000000000089e-01 1.959504572707800651e+00 7.638115564495109311e+00 1.943536922256141552e+05
